created_at,entry_id,field1,field2,field3
2020-02-28 15:02:00 UTC,114,IR6,0,2000-0-9T45:162:0
2020-02-28 20:22:00 UTC,115,IR36,1,2000-0-5T45:162:0
2020-02-29 05:16:00 UTC,116,IR14,1,2000-0-1T45:162:0
2020-03-01 03:53:00 UTC,117,IR16,0,2000-0-4T45:162:0
2020-03-01 05:40:00 UTC,118,IR43,1,2000-0-6T45:162:0
2020-03-01 20:45:00 UTC,119,IR41,1,2000-0-9T45:162:0
2020-03-02 11:38:00 UTC,120,IR45,1,2000-0-0T45:162:0
2020-03-03 01:02:00 UTC,121,IR34,0,2000-0-6T45:162:0
2020-03-03 08:22:00 UTC,122,IR1,1,2000-0-3T45:162:0
2020-03-03 23:25:00 UTC,123,IR26,1,2000-0-6T45:162:0
2020-03-04 06:25:00 UTC,124,IR48,1,2000-0-7T45:162:0
2020-03-05 01:15:00 UTC,125,IR6,1,2000-0-6T45:162:0
2020-03-05 14:12:00 UTC,126,IR6,1,2000-0-2T45:162:0
2020-03-05 17:20:00 UTC,127,IR45,0,2000-0-4T45:162:0
2020-03-06 07:34:00 UTC,128,IR1,0,2000-0-7T45:162:0
2020-03-06 15:00:00 UTC,129,IR22,1,2000-0-7T45:162:0
2020-03-07 11:47:00 UTC,130,IR3,1,2000-0-2T45:162:0
2020-03-08 07:25:00 UTC,131,IR48,1,2000-0-5T45:162:0
2020-03-09 04:26:00 UTC,132,IR7,1,2000-0-1T45:162:0
2020-03-09 12:27:00 UTC,133,IR12,1,2000-0-4T45:162:0
2020-03-10 05:01:00 UTC,134,IR30,1,2000-0-4T45:162:0
2020-03-11 00:28:00 UTC,135,IR10,0,2000-0-7T45:162:0
2020-03-11 15:14:00 UTC,136,IR44,0,2000-0-6T45:162:0
2020-03-12 01:58:00 UTC,137,IR33,1,2000-0-0T45:162:0
2020-03-12 12:02:00 UTC,138,IR24,1,2000-0-0T45:162:0
2020-03-13 03:00:00 UTC,139,IR7,1,2000-0-9T45:162:0
2020-03-13 09:06:00 UTC,140,IR14,1,2000-0-5T45:162:0
2020-03-13 21:31:00 UTC,141,IR8,0,2000-0-0T45:162:0
2020-03-14 15:06:00 UTC,142,IR48,0,2000-0-2T45:162:0
2020-03-15 10:10:00 UTC,143,IR6,1,2000-0-6T45:162:0
2020-03-15 23:14:00 UTC,144,IR47,0,2000-0-9T45:162:0
2020-03-16 19:45:00 UTC,145,IR47,1,2000-0-4T45:162:0
2020-03-17 19:38:00 UTC,146,IR10,1,2000-0-6T45:162:0
2020-03-18 06:08:00 UTC,147,IR25,1,2000-0-2T45:162:0
2020-03-19 02:47:00 UTC,148,IR30,1,2000-0-3T45:162:0
2020-03-19 14:01:00 UTC,149,IR49,0,2000-0-6T45:162:0
2020-03-20 08:47:00 UTC,150,IR29,1,2000-0-9T45:162:0
2020-03-20 17:19:00 UTC,151,IR41,0,2000-0-8T45:162:0
2020-03-20 20:02:00 UTC,152,IR43,1,2000-0-8T45:162:0
2020-03-21 04:36:00 UTC,153,IR44,0,2000-0-0T45:162:0
2020-03-21 14:40:00 UTC,154,IR2,0,2000-0-0T45:162:0
2020-03-21 17:33:00 UTC,155,IR48,0,2000-0-8T45:162:0
2020-03-22 00:37:00 UTC,156,IR8,1,2000-0-1T45:162:0
2020-03-22 15:20:00 UTC,157,IR33,0,2000-0-6T45:162:0
2020-03-23 06:57:00 UTC,158,IR35,0,2000-0-2T45:162:0
2020-03-23 12:13:00 UTC,159,IR18,1,2000-0-3T45:162:0
2020-03-24 07:51:00 UTC,160,IR37,0,2000-0-3T45:162:0
2020-03-25 04:31:00 UTC,161,IR30,1,2000-0-6T45:162:0
2020-03-25 11:53:00 UTC,162,IR21,0,2000-0-6T45:162:0
2020-03-26 05:57:00 UTC,163,IR17,1,2000-0-1T45:162:0
2020-03-26 17:34:00 UTC,164,IR33,1,2000-0-3T45:162:0
2020-03-27 07:07:00 UTC,165,IR2,0,2000-0-3T45:162:0
2020-03-28 05:55:00 UTC,166,IR34,1,2000-0-0T45:162:0
2020-03-28 23:03:00 UTC,167,IR23,0,2000-0-8T45:162:0
2020-03-29 05:14:00 UTC,168,IR21,0,2000-0-7T45:162:0
2020-03-30 03:33:00 UTC,169,IR28,0,2000-0-8T45:162:0
2020-03-30 18:32:00 UTC,170,IR38,1,2000-0-1T45:162:0
2020-03-31 12:30:00 UTC,171,IR30,0,2000-0-0T45:162:0
2020-04-01 11:20:00 UTC,172,IR11,0,2000-0-6T45:162:0
2020-04-02 09:16:00 UTC,173,IR26,1,2000-0-1T45:162:0
2020-04-02 23:16:00 UTC,174,IR20,1,2000-0-3T45:162:0
2020-04-03 04:33:00 UTC,175,IR37,1,2000-0-4T45:162:0
2020-04-03 18:33:00 UTC,176,IR38,0,2000-0-3T45:162:0
2020-04-04 01:14:00 UTC,177,IR12,0,2000-0-3T45:162:0
2020-04-04 13:50:00 UTC,178,IR37,0,2000-0-8T45:162:0
2020-04-05 01:56:00 UTC,179,IR17,0,2000-0-8T45:162:0
2020-04-06 00:58:00 UTC,180,IR42,1,2000-0-2T45:162:0
2020-04-06 08:22:00 UTC,181,IR12,0,2000-0-9T45:162:0
2020-04-07 00:07:00 UTC,182,IR42,0,2000-0-1T45:162:0
2020-04-07 05:25:00 UTC,183,IR34,1,2000-0-5T45:162:0
2020-04-07 23:25:00 UTC,184,IR5,0,2000-0-2T45:162:0
2020-04-08 15:59:00 UTC,185,IR25,1,2000-0-0T45:162:0
2020-04-09 09:28:00 UTC,186,IR5,1,2000-0-1T45:162:0
2020-04-09 17:27:00 UTC,187,IR13,1,2000-0-8T45:162:0
2020-04-10 14:16:00 UTC,188,IR27,1,2000-0-6T45:162:0
2020-04-11 00:28:00 UTC,189,IR23,0,2000-0-5T45:162:0
2020-04-11 22:32:00 UTC,190,IR44,0,2000-0-6T45:162:0
2020-04-12 09:04:00 UTC,191,IR27,0,2000-0-7T45:162:0
2020-04-12 20:14:00 UTC,192,IR37,0,2000-0-5T45:162:0
2020-04-13 10:16:00 UTC,193,IR16,0,2000-0-6T45:162:0
2020-04-14 04:59:00 UTC,194,IR15,1,2000-0-2T45:162:0
2020-04-14 09:26:00 UTC,195,IR22,1,2000-0-8T45:162:0
2020-04-14 22:33:00 UTC,196,IR23,1,2000-0-0T45:162:0
2020-04-15 18:40:00 UTC,197,IR17,1,2000-0-6T45:162:0
2020-04-15 23:01:00 UTC,198,IR1,1,2000-0-6T45:162:0
2020-04-16 03:46:00 UTC,199,IR34,0,2000-0-6T45:162:0
2020-04-16 23:13:00 UTC,200,IR15,1,2000-0-2T45:162:0
2020-04-17 06:00:00 UTC,201,IR45,0,2000-0-5T45:162:0
2020-04-17 23:20:00 UTC,202,IR33,0,2000-0-8T45:162:0
2020-04-18 00:29:00 UTC,203,IR42,1,2000-0-8T45:162:0
2020-04-18 22:29:00 UTC,204,IR39,0,2000-0-8T45:162:0
2020-04-19 09:20:00 UTC,205,IR3,0,2000-0-9T45:162:0
2020-04-19 12:16:00 UTC,206,IR18,0,2000-0-1T45:162:0
2020-04-20 02:25:00 UTC,207,IR35,0,2000-0-9T45:162:0
2020-04-20 03:47:00 UTC,208,IR37,0,2000-0-3T45:162:0
2020-04-20 21:24:00 UTC,209,IR10,1,2000-0-0T45:162:0
2020-04-21 07:14:00 UTC,210,IR26,0,2000-0-9T45:162:0
2020-04-22 01:12:00 UTC,211,IR48,1,2000-0-3T45:162:0
2020-04-22 18:13:00 UTC,212,IR24,0,2000-0-1T45:162:0
2020-04-23 17:10:00 UTC,213,IR33,0,2000-0-1T45:162:0
2020-04-24 10:38:00 UTC,214,IR42,1,2000-0-5T45:162:0
2020-04-25 10:02:00 UTC,215,IR16,0,2000-0-2T45:162:0
2020-04-26 08:46:00 UTC,216,IR40,1,2000-0-2T45:162:0
2020-04-26 13:24:00 UTC,217,IR42,0,2000-0-2T45:162:0
2020-04-27 13:18:00 UTC,218,IR35,1,2000-0-6T45:162:0
2020-04-28 04:03:00 UTC,219,IR6,0,2000-0-4T45:162:0
2020-04-28 23:44:00 UTC,220,IR2,1,2000-0-0T45:162:0
2020-04-29 18:58:00 UTC,221,IR8,1,2000-0-8T45:162:0
2020-04-29 20:24:00 UTC,222,IR50,1,2000-0-8T45:162:0
2020-04-30 14:05:00 UTC,223,IR4,0,2000-0-3T45:162:0
2020-05-01 03:18:00 UTC,224,IR29,0,2000-0-0T45:162:0
2020-05-01 05:27:00 UTC,225,IR35,1,2000-0-7T45:162:0
2020-05-02 00:51:00 UTC,226,IR31,1,2000-0-5T45:162:0
2020-05-02 16:46:00 UTC,227,IR13,0,2000-0-6T45:162:0
2020-05-03 00:53:00 UTC,228,IR23,0,2000-0-7T45:162:0
2020-05-03 23:38:00 UTC,229,IR37,1,2000-0-3T45:162:0
2020-05-04 14:26:00 UTC,230,IR43,0,2000-0-5T45:162:0
2020-05-04 22:36:00 UTC,231,IR23,1,2000-0-8T45:162:0
2020-05-05 22:10:00 UTC,232,IR11,1,2000-0-7T45:162:0
2020-05-06 16:35:00 UTC,233,IR6,1,2000-0-7T45:162:0
2020-05-07 03:05:00 UTC,234,IR1,0,2000-0-0T45:162:0
2020-05-07 09:43:00 UTC,235,IR26,1,2000-0-3T45:162:0
2020-05-07 21:17:00 UTC,236,IR1,0,2000-0-6T45:162:0
2020-05-08 18:46:00 UTC,237,IR34,1,2000-0-1T45:162:0
2020-05-09 03:04:00 UTC,238,IR39,1,2000-0-7T45:162:0
2020-05-09 15:35:00 UTC,239,IR4,0,2000-0-5T45:162:0
2020-05-10 08:46:00 UTC,240,IR28,0,2000-0-7T45:162:0
2020-05-10 10:14:00 UTC,241,IR37,0,2000-0-9T45:162:0
2020-05-10 21:27:00 UTC,242,IR1,0,2000-0-6T45:162:0
2020-05-11 20:26:00 UTC,243,IR14,1,2000-0-5T45:162:0
2020-05-12 08:46:00 UTC,244,IR40,0,2000-0-8T45:162:0
2020-05-12 15:51:00 UTC,245,IR40,0,2000-0-8T45:162:0
2020-05-12 20:43:00 UTC,246,IR16,1,2000-0-0T45:162:0
2020-05-13 03:59:00 UTC,247,IR36,0,2000-0-7T45:162:0
2020-05-13 19:35:00 UTC,248,IR19,0,2000-0-3T45:162:0
2020-05-14 03:23:00 UTC,249,IR33,0,2000-0-1T45:162:0
2020-05-14 11:58:00 UTC,250,IR42,0,2000-0-2T45:162:0
2020-05-14 15:14:00 UTC,251,IR50,1,2000-0-6T45:162:0
2020-05-15 05:33:00 UTC,252,IR24,0,2000-0-6T45:162:0
2020-05-16 05:12:00 UTC,253,IR31,1,2000-0-0T45:162:0
2020-05-16 15:37:00 UTC,254,IR11,0,2000-0-4T45:162:0
2020-05-16 16:38:00 UTC,255,IR16,1,2000-0-1T45:162:0
2020-05-16 20:33:00 UTC,256,IR37,1,2000-0-7T45:162:0
2020-05-17 14:44:00 UTC,257,IR17,0,2000-0-8T45:162:0
2020-05-18 00:54:00 UTC,258,IR17,0,2000-0-9T45:162:0
2020-05-18 17:24:00 UTC,259,IR29,0,2000-0-1T45:162:0
2020-05-19 00:47:00 UTC,260,IR15,1,2000-0-5T45:162:0
2020-05-19 14:20:00 UTC,261,IR50,0,2000-0-4T45:162:0
2020-05-20 09:46:00 UTC,262,IR39,1,2000-0-3T45:162:0
2020-05-21 02:14:00 UTC,263,IR25,1,2000-0-0T45:162:0
2020-05-21 12:13:00 UTC,264,IR14,0,2000-0-5T45:162:0
2020-05-21 14:41:00 UTC,265,IR30,0,2000-0-2T45:162:0
2020-05-21 21:19:00 UTC,266,IR43,1,2000-0-0T45:162:0
2020-05-22 00:28:00 UTC,267,IR4,1,2000-0-1T45:162:0
2020-05-22 01:50:00 UTC,268,IR27,0,2000-0-1T45:162:0
2020-05-22 21:39:00 UTC,269,IR14,0,2000-0-5T45:162:0
2020-05-23 02:04:00 UTC,270,IR28,0,2000-0-8T45:162:0
2020-05-23 16:54:00 UTC,271,IR7,0,2000-0-7T45:162:0
2020-05-24 08:23:00 UTC,272,IR25,0,2000-0-8T45:162:0
2020-05-24 18:11:00 UTC,273,IR33,1,2000-0-3T45:162:0
2020-05-25 04:48:00 UTC,274,IR17,0,2000-0-3T45:162:0
2020-05-25 19:49:00 UTC,275,IR5,0,2000-0-2T45:162:0
2020-05-26 17:43:00 UTC,276,IR7,0,2000-0-6T45:162:0
2020-05-27 10:58:00 UTC,277,IR33,0,2000-0-7T45:162:0
2020-05-28 05:02:00 UTC,278,IR40,0,2000-0-1T45:162:0
2020-05-28 23:10:00 UTC,279,IR23,0,2000-0-6T45:162:0
2020-05-29 18:11:00 UTC,280,IR35,1,2000-0-0T45:162:0
2020-05-30 05:29:00 UTC,281,IR31,0,2000-0-4T45:162:0
2020-05-30 10:07:00 UTC,282,IR49,0,2000-0-7T45:162:0
2020-05-31 05:16:00 UTC,283,IR48,0,2000-0-1T45:162:0
2020-06-01 04:26:00 UTC,284,IR2,0,2000-0-9T45:162:0
2020-06-01 18:19:00 UTC,285,IR22,1,2000-0-5T45:162:0
2020-06-02 14:33:00 UTC,286,IR24,0,2000-0-0T45:162:0
2020-06-02 19:37:00 UTC,287,IR37,1,2000-0-8T45:162:0
2020-06-03 18:44:00 UTC,288,IR32,1,2000-0-3T45:162:0
2020-06-04 06:49:00 UTC,289,IR42,0,2000-0-7T45:162:0
2020-06-04 20:37:00 UTC,290,IR26,0,2000-0-9T45:162:0
2020-06-05 16:33:00 UTC,291,IR9,1,2000-0-5T45:162:0
2020-06-06 00:37:00 UTC,292,IR27,0,2000-0-9T45:162:0
2020-06-06 10:31:00 UTC,293,IR4,1,2000-0-2T45:162:0
2020-06-07 05:54:00 UTC,294,IR45,0,2000-0-4T45:162:0
2020-06-07 08:50:00 UTC,295,IR30,0,2000-0-5T45:162:0
2020-06-08 02:13:00 UTC,296,IR47,1,2000-0-9T45:162:0
2020-06-08 04:26:00 UTC,297,IR34,1,2000-0-9T45:162:0
2020-06-09 04:18:00 UTC,298,IR3,0,2000-0-3T45:162:0
2020-06-09 12:27:00 UTC,299,IR5,1,2000-0-4T45:162:0
2020-06-10 06:03:00 UTC,300,IR14,1,2000-0-0T45:162:0
2020-06-10 12:44:00 UTC,301,IR39,0,2000-0-0T45:162:0
2020-06-11 08:20:00 UTC,302,IR24,0,2000-0-5T45:162:0
2020-06-12 00:30:00 UTC,303,IR39,0,2000-0-8T45:162:0
2020-06-12 16:58:00 UTC,304,IR38,0,2000-0-1T45:162:0
2020-06-12 18:16:00 UTC,305,IR13,1,2000-0-4T45:162:0
2020-06-13 13:38:00 UTC,306,IR26,1,2000-0-3T45:162:0
2020-06-14 05:29:00 UTC,307,IR7,0,2000-0-6T45:162:0
2020-06-15 00:54:00 UTC,308,IR48,1,2000-0-9T45:162:0
2020-06-15 20:26:00 UTC,309,IR5,1,2000-0-7T45:162:0
2020-06-16 03:09:00 UTC,310,IR1,1,2000-0-2T45:162:0
2020-06-16 05:26:00 UTC,311,IR49,1,2000-0-9T45:162:0
2020-06-16 15:28:00 UTC,312,IR31,0,2000-0-7T45:162:0
2020-06-16 22:22:00 UTC,313,IR42,0,2000-0-5T45:162:0
2020-06-17 10:23:00 UTC,314,IR12,1,2000-0-5T45:162:0
2020-06-18 03:53:00 UTC,315,IR37,1,2000-0-0T45:162:0
2020-06-18 13:51:00 UTC,316,IR49,1,2000-0-9T45:162:0
2020-06-18 23:00:00 UTC,317,IR27,1,2000-0-9T45:162:0
2020-06-19 00:56:00 UTC,318,IR19,0,2000-0-8T45:162:0
2020-06-19 18:03:00 UTC,319,IR47,0,2000-0-8T45:162:0
2020-06-20 03:08:00 UTC,320,IR6,0,2000-0-6T45:162:0
2020-06-21 03:00:00 UTC,321,IR39,0,2000-0-7T45:162:0
2020-06-22 00:08:00 UTC,322,IR16,1,2000-0-8T45:162:0
2020-06-22 11:48:00 UTC,323,IR39,0,2000-0-3T45:162:0
2020-06-22 13:11:00 UTC,324,IR43,1,2000-0-2T45:162:0
2020-06-23 00:46:00 UTC,325,IR7,0,2000-0-5T45:162:0
2020-06-23 21:56:00 UTC,326,IR26,1,2000-0-6T45:162:0
2020-06-24 05:40:00 UTC,327,IR8,1,2000-0-5T45:162:0
2020-06-24 16:46:00 UTC,328,IR27,1,2000-0-8T45:162:0
2020-06-25 13:21:00 UTC,329,IR10,0,2000-0-1T45:162:0
2020-06-26 09:40:00 UTC,330,IR44,0,2000-0-4T45:162:0
2020-06-26 15:15:00 UTC,331,IR40,1,2000-0-4T45:162:0
2020-06-26 21:15:00 UTC,332,IR11,0,2000-0-4T45:162:0
2020-06-27 08:55:00 UTC,333,IR1,1,2000-0-3T45:162:0
2020-06-27 15:15:00 UTC,334,IR40,1,2000-0-8T45:162:0
2020-06-28 11:19:00 UTC,335,IR44,0,2000-0-6T45:162:0
2020-06-28 23:17:00 UTC,336,IR1,1,2000-0-2T45:162:0
2020-06-29 22:05:00 UTC,337,IR34,1,2000-0-4T45:162:0
2020-06-30 19:03:00 UTC,338,IR16,1,2000-0-3T45:162:0
2020-07-01 00:57:00 UTC,339,IR19,0,2000-0-1T45:162:0
2020-07-01 08:02:00 UTC,340,IR7,1,2000-0-6T45:162:0
2020-07-01 13:32:00 UTC,341,IR43,0,2000-0-9T45:162:0
2020-07-02 11:54:00 UTC,342,IR50,1,2000-0-8T45:162:0
2020-07-02 22:29:00 UTC,343,IR13,0,2000-0-6T45:162:0
2020-07-03 13:13:00 UTC,344,IR22,0,2000-0-1T45:162:0
2020-07-04 09:42:00 UTC,345,IR27,0,2000-0-2T45:162:0
2020-07-04 19:24:00 UTC,346,IR17,0,2000-0-3T45:162:0
2020-07-05 03:26:00 UTC,347,IR19,1,2000-0-6T45:162:0
2020-07-06 01:31:00 UTC,348,IR17,1,2000-0-4T45:162:0
2020-07-06 05:49:00 UTC,349,IR42,0,2000-0-0T45:162:0
2020-07-06 07:14:00 UTC,350,IR6,1,2000-0-3T45:162:0
2020-07-06 10:02:00 UTC,351,IR24,0,2000-0-6T45:162:0
2020-07-07 03:38:00 UTC,352,IR26,1,2000-0-3T45:162:0
2020-07-07 15:48:00 UTC,353,IR46,1,2000-0-1T45:162:0
2020-07-08 05:37:00 UTC,354,IR44,1,2000-0-8T45:162:0
2020-07-08 10:53:00 UTC,355,IR5,0,2000-0-4T45:162:0
2020-07-08 22:46:00 UTC,356,IR38,0,2000-0-7T45:162:0
2020-07-09 09:34:00 UTC,357,IR27,0,2000-0-5T45:162:0
2020-07-09 22:32:00 UTC,358,IR39,1,2000-0-7T45:162:0
2020-07-09 23:32:00 UTC,359,IR45,1,2000-0-6T45:162:0
2020-07-10 20:14:00 UTC,360,IR43,0,2000-0-2T45:162:0
2020-07-10 22:13:00 UTC,361,IR29,1,2000-0-5T45:162:0
2020-07-11 10:50:00 UTC,362,IR34,1,2000-0-3T45:162:0
2020-07-12 10:03:00 UTC,363,IR45,1,2000-0-4T45:162:0
2020-07-12 17:09:00 UTC,364,IR28,1,2000-0-6T45:162:0
2020-07-12 20:09:00 UTC,365,IR5,1,2000-0-4T45:162:0
2020-07-13 08:01:00 UTC,366,IR25,0,2000-0-4T45:162:0
2020-07-13 09:49:00 UTC,367,IR47,0,2000-0-0T45:162:0
